Year,rslarge,rssmall,rbcorplt,rbgovlt,rbgovintermed,rbtbills,inflrate
1959,11.96,16.4,-0.97,-2.26,-0.39,2.95,1.5
1960,0.47,-3.29,9.07,13.78,11.76,2.66,1.48
1961,26.89,32.09,4.82,0.97,1.85,2.13,0.67
1962,-8.73,-11.9,7.95,6.89,5.56,2.73,1.22
1963,22.8,23.57,2.19,1.21,1.64,3.12,1.65
1964,16.48,23.52,4.77,3.51,4.04,3.54,1.19
1965,12.45,41.75,-0.46,0.71,1.02,3.93,1.92
1966,-10.06,-7.01,0.2,3.65,4.69,4.76,3.35
1967,23.98,83.57,-4.95,-9.18,1.01,4.21,3.04
1968,11.06,35.97,2.57,-0.26,4.54,5.21,4.72
1969,-8.5,-25.05,-8.09,-5.07,-0.74,6.58,6.11
1970,4.01,-17.43,18.37,12.11,16.86,6.52,5.49
1971,14.31,16.5,11.01,13.23,8.72,4.39,3.36
1972,18.98,4.43,7.26,5.69,5.16,3.84,3.41
1973,-14.66,-30.9,1.14,-1.11,4.61,6.93,8.8
1974,-26.47,-19.95,-3.06,4.35,5.69,8.0,12.2
1975,37.2,52.82,14.64,9.2,7.83,5.8,7.01
1976,23.84,57.38,18.65,16.75,12.87,5.08,4.81
1977,-7.18,25.38,1.71,-0.69,1.41,5.12,6.77
1978,6.56,23.46,-0.07,-1.18,3.49,7.18,9.03
1979,18.44,43.46,-4.18,-1.23,4.09,10.38,13.31
1980,32.42,39.88,-2.76,-3.95,3.91,11.24,12.4
1981,-4.91,13.88,-1.24,1.86,9.45,14.71,8.94
1982,21.41,28.01,42.56,40.36,29.1,10.54,3.87
1983,22.51,39.67,6.26,0.65,7.41,8.8,3.8
1984,6.27,-6.67,16.86,15.48,14.02,9.85,3.95
1985,32.16,24.66,30.09,30.97,20.33,7.72,3.77
1986,18.47,6.85,19.85,24.53,15.14,6.16,1.13
1987,5.23,-9.3,-0.27,-2.71,2.9,5.47,4.41
1988,16.81,22.87,10.7,9.67,6.1,6.35,4.42
1989,31.49,10.18,16.23,18.11,13.29,8.37,4.65
1990,-3.17,-21.56,6.78,6.18,9.73,7.81,6.11
1991,30.55,44.63,19.89,19.3,15.46,5.6,3.06
1992,7.67,23.35,9.39,8.05,7.19,3.51,2.9
1993,9.99,20.98,13.19,18.24,11.24,2.9,2.75
1994,1.31,3.11,-5.76,-7.77,-5.14,3.9,2.67
1995,37.43,34.46,27.2,31.67,16.8,5.6,2.54
1996,23.07,17.62,1.4,-0.93,2.1,5.21,3.32
1997,33.36,22.78,12.95,15.85,8.38,5.26,1.7
1998,28.58,-7.31,10.76,13.06,10.21,4.86,1.61
1999,21.04,29.79,-7.45,-8.96,-1.77,4.68,2.68
2000,-9.11,-3.59,12.87,21.28,12.59,5.89,3.39
2001,-11.88,22.77,10.65,3.7,7.62,3.83,1.55
2002,-22.1,-13.28,16.33,17.84,12.93,1.65,2.38
2003,28.7,60.7,5.27,1.45,2.4,1.02,1.88
2004,10.872727,18.390932,8.721229,8.50977,2.253438,1.202563,
2005,4.909004,5.688203,5.869939,7.812347999999999,1.361928,2.979536,
2006,15.795338000000001,16.169965,3.243274,1.188613,3.1428329999999995,4.799615,
2007,5.489999999999999,-5.220000000000001,2.6,9.879999999999999,10.05,4.66,
2008,-37.0,-36.720000000000006,8.780000000000001,25.869999999999997,13.11,1.6,
2009,26.25,20.580000000000002,7.8,-9.25,-4.55,0.15,
2010,15.06,24.5,8.3,7.26,3.6449999999999996,0.03,
