Year,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Jastram 1977,Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President,1947=100,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Dividend Yield,Shiller 10 yr govt bond,1947=100,=ib(1947) since wpi =100 in 1947
2002,1077.245508982036,880.1509001636659,6.49,248.65900383141764,0.08799985096870339,0.0353624156326109,1.4093894984257285,5.04,513.2075219613213,0.4845194062649733
2003,1101.7964071856288,927.1459901800326,5.67,217.24137931034483,0.0033056445461479567,0.0292127232407617,1.9411948562243257,4.05,540.6099068105146,0.40184498392199935
2004,1131.1377245508982,984.8828150572831,5.63,215.7088122605364,-0.005973714699493364,0.0233782969436701,1.7165259774661819,4.15,574.2756939109523,0.37561891361187294
2005,1169.4610778443114,1056.7181669394438,5.23,200.3831417624521,-0.020637968643490247,0.0182720290280735,1.8808034467289085,4.22,616.162196466148,0.3252116778856315
2006,1207.185628742515,1105.727332242226,5.59,214.17624521072798,0.009521346886912328,0.0140133288112726,1.9456804798511023,4.42,644.7389692374496,0.33219063129383986
2007,1241.556886227545,1158.76464811784,5.56,213.02681992337165,0.0076340012143291044,0.0103324853202872,1.9471126839680934,4.76,675.6645178529678,0.31528489996825415
2008,1289.2215568862275,1272.8955810147302,5.63,215.7088122605364,-0.042193626882966316,0.00691485429402454,2.0590965795352347,3.74,742.2131667724374,0.290629191069946
2009,1284.670658682635,1160.7787234042555,5.31,203.44827586206898,0.14118016877637124,0.00341876661818889,2.5890154578432956,2.52,676.8389057750761,0.30058596532522314
2010,1305.7485029940121,1239.9990180032732,4.94,189.27203065134103,-0.018847541931752136,-0.000988495364455653,2.02299791737126,3.73,723.0314973780019,0.2617756367982809
2011,,1350.1018003273323,4.64,177.77777777777777,-0.04239263670817554,-0.00576203697732693,2.060625906347944,3.39,787.231370453255,0.22582659234656866
